Hotspot_Name,Bird_Name
Taughannock Falls SP--Loon Watch,Dark-eyed Junco
Taughannock Falls SP--Loon Watch,Common Loon
Taughannock Falls SP--Loon Watch,European Starling
Taughannock Falls SP--Loon Watch,Eastern Bluebird
Taughannock Falls SP--Loon Watch,American Goldfinch
Taughannock Falls SP--Loon Watch,Cackling Goose
Taughannock Falls SP--Loon Watch,duck sp.
Taughannock Falls SP--Loon Watch,Peregrine Falcon
Taughannock Falls SP--Loon Watch,Black-capped Chickadee
Taughannock Falls SP--Loon Watch,American Black Duck
Taughannock Falls SP--Loon Watch,Redhead
Taughannock Falls SP--Loon Watch,Lesser Scaup
Taughannock Falls SP--Loon Watch,Aythya sp.
Taughannock Falls SP--Loon Watch,scoter sp.
Taughannock Falls SP--Loon Watch,Bonaparte's Gull
Taughannock Falls SP--Loon Watch,Bufflehead
Taughannock Falls SP--Loon Watch,Great Black-backed Gull
Taughannock Falls SP--Loon Watch,Merlin
Taughannock Falls SP--Loon Watch,White-breasted Nuthatch
Taughannock Falls SP--Loon Watch,American Robin
Taughannock Falls SP--Loon Watch,Red-winged Blackbird
Taughannock Falls SP--Loon Watch,Yellow-rumped Warbler
Taughannock Falls SP--Loon Watch,Northern Cardinal
Taughannock Falls SP--Loon Watch,Greater/Lesser Scaup
Taughannock Falls SP--Loon Watch,Long-tailed Duck
Taughannock Falls SP--Loon Watch,Double-crested Cormorant
Taughannock Falls SP--Loon Watch,Red-tailed Hawk
Taughannock Falls SP--Loon Watch,crow sp.
Taughannock Falls SP--Loon Watch,Yellow-bellied Sapsucker
Taughannock Falls SP--Loon Watch,Tree Swallow
Taughannock Falls SP--Loon Watch,Barn Swallow
Taughannock Falls SP--Loon Watch,Gray Catbird
Taughannock Falls SP--Loon Watch,House Finch
Taughannock Falls SP--Loon Watch,Song Sparrow
Taughannock Falls SP--Loon Watch,Baltimore Oriole
Taughannock Falls SP--Loon Watch,Common Grackle
Taughannock Falls SP--Loon Watch,Osprey
Taughannock Falls SP--Loon Watch,Common Goldeneye
Taughannock Falls SP--Loon Watch,gull sp.
Taughannock Falls SP--Loon Watch,Cedar Waxwing
Taughannock Falls SP--Loon Watch,Mallard (Domestic type)
Taughannock Falls SP--Loon Watch,Bald Eagle
Taughannock Falls SP--Loon Watch,Mallard/American Black Duck
Taughannock Falls SP--Loon Watch,Mourning Dove
Taughannock Falls SP--Loon Watch,Chimney Swift
